PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-9-16,72,66,60,62,57,52,84,76,63,29.95,29.93,29.88,10,10,10,12,3,,0.00,3,,248
2016-9-17,73,67,61,62,59,54,87,77,61,29.97,29.92,29.87,10,9,7,12,2,,0.00,2,,218
2016-9-18,71,66,61,62,61,57,97,86,73,29.95,29.91,29.87,10,4,0,8,2,,0.00,3,Fog,233
2016-9-19,81,70,63,66,61,51,97,79,46,30.02,29.95,29.90,10,6,1,13,4,22,0.00,4,Rain,253
2016-9-20,88,78,69,67,60,51,79,58,35,29.97,29.93,29.89,10,10,10,10,2,,0.00,2,,219
2016-9-21,78,72,66,68,65,60,93,78,64,29.91,29.87,29.83,10,10,10,10,3,,0.00,0,,220
2016-9-22,73,68,64,62,55,27,90,66,18,29.93,29.89,29.84,10,10,10,14,4,22,0.00,3,,203
2016-9-23,73,66,61,61,55,34,84,66,27,30.01,29.96,29.91,10,10,10,13,7,22,0.00,1,,217
2016-9-24,82,68,57,58,51,39,78,54,23,30.01,29.97,29.94,10,10,10,13,4,,0.00,0,,266
2016-9-25,91,77,63,59,49,29,70,43,11,30.02,29.95,29.88,10,10,10,12,4,,0.00,0,,142
2016-9-26,100,84,70,59,41,29,55,28,8,29.95,29.89,29.82,10,10,10,14,5,18,0.00,0,,316
2016-9-27,95,83,73,56,48,40,49,33,16,29.88,29.85,29.82,10,10,10,13,5,,0.00,1,,336
2016-9-28,87,77,70,68,58,51,93,55,31,29.95,29.91,29.88,10,10,10,9,3,,0.00,0,,228
2016-9-29,86,76,66,67,62,59,90,69,45,30.04,30.00,29.94,10,10,10,12,3,,0.00,0,,197
2016-9-30,80,72,66,65,61,57,90,73,50,30.04,29.99,29.92,10,10,10,10,3,,0.00,0,,213
2016-10-1,77,69,63,64,61,59,90,77,64,30.01,29.96,29.91,10,10,10,9,4,,0.00,0,,208
2016-10-2,73,67,61,61,59,52,93,78,51,29.99,29.95,29.91,10,10,9,13,4,20,0.00,2,,273
2016-10-3,71,65,59,58,53,40,90,67,33,30.03,29.95,29.88,10,10,10,16,5,24,0.00,0,,265
2016-10-4,73,66,59,58,56,53,84,74,59,29.93,29.89,29.85,10,10,10,12,4,,0.00,0,,259
2016-10-5,71,64,57,60,57,55,90,78,61,29.96,29.91,29.88,10,10,10,12,3,16,0.00,0,,233
2016-10-6,73,65,57,58,55,51,87,69,46,29.94,29.90,29.85,10,10,9,10,3,,0.00,0,,266
2016-10-7,84,71,60,56,48,30,65,46,15,29.92,29.87,29.82,10,10,10,9,4,,0.00,0,,347
2016-10-8,84,72,61,61,50,39,87,53,26,29.93,29.89,29.86,10,10,10,10,3,,0.00,0,,234
2016-10-9,82,70,60,59,49,39,78,51,22,29.97,29.94,29.90,10,10,10,12,4,,0.00,0,,274
2016-10-10,77,68,61,61,56,48,93,67,45,30.00,29.96,29.94,10,10,10,14,3,,0.00,0,,188
2016-10-11,69,64,60,60,58,56,96,84,63,30.08,30.03,29.99,10,10,9,10,4,,0.00,3,,222
2016-10-12,68,62,57,57,56,55,93,78,65,30.09,30.05,30.01,10,10,10,9,2,,0.00,4,,241
2016-10-13,69,62,55,60,57,53,93,84,68,30.07,30.02,29.96,10,9,7,12,4,,0.00,2,,222
2016-10-14,68,64,60,60,58,57,93,84,68,30.05,30.00,29.95,10,9,5,9,2,,0.00,4,,210
2016-10-15,71,66,62,64,61,57,93,84,68,30.03,29.98,29.94,10,10,10,10,4,21,0.00,5,,243
2016-10-16,71,67,64,64,63,60,97,90,73,30.03,29.99,29.96,10,10,10,13,4,18,0.00,7,,233
2016-10-17,69,66,60,64,62,58,100,93,73,29.99,29.95,29.90,10,6,2,12,5,,0.33,5,Rain,176
2016-10-18,71,64,57,59,57,54,96,80,57,29.98,29.92,29.88,10,10,8,9,2,,0.00,0,,230
2016-10-19,84,70,57,56,46,25,90,49,12,29.97,29.94,29.91,10,10,10,8,4,,0.00,0,,111
2016-10-20,96,80,64,56,33,20,59,24,7,29.99,29.92,29.87,10,10,10,8,4,,0.00,0,,51
2016-10-21,88,76,63,64,38,21,97,35,10,29.90,29.86,29.81,10,10,10,12,4,,0.00,0,,75
2016-10-22,79,68,59,62,52,35,97,63,23,29.92,29.88,29.85,10,10,9,8,4,,0.00,0,,220
2016-10-23,79,68,60,62,58,51,100,81,42,30.05,29.98,29.93,10,8,1,12,2,,0.01,3,Rain-Thunderstorm,83
2016-10-24,71,66,61,62,60,58,97,84,68,30.09,30.05,30.00,10,10,10,9,4,,0.00,5,Thunderstorm,212
2016-10-25,70,64,57,59,57,54,96,81,57,30.13,30.08,30.04,10,10,10,12,3,16,0.00,0,,251
2016-10-26,71,63,57,61,58,54,97,84,68,30.08,30.02,29.95,10,10,9,8,3,,0.00,0,,208
2016-10-27,75,66,60,62,59,55,97,80,55,30.01,29.94,29.83,10,10,8,10,2,,0.00,1,,180
2016-10-28,73,68,62,62,61,55,96,80,62,29.97,29.93,29.86,10,10,9,13,4,16,0.02,4,Rain,252
2016-10-29,75,67,59,62,59,56,96,76,57,30.02,29.97,29.93,10,10,10,8,2,,0.00,2,,218
2016-10-30,68,64,61,63,61,58,100,92,78,30.08,30.01,29.93,10,10,8,8,3,,0.02,6,Rain,210
2016-10-31,66,60,55,57,55,53,97,82,61,30.07,30.03,29.98,10,10,10,10,3,,0.00,0,,230
2016-11-1,66,60,55,57,54,53,93,80,61,30.06,30.02,29.97,10,10,10,10,3,,0.00,3,,329
2016-11-2,80,66,53,56,46,24,93,58,14,30.09,30.03,29.97,10,10,10,9,4,17,0.00,0,,346
2016-11-3,82,71,60,54,42,30,65,39,15,30.06,30.01,29.97,10,10,10,9,5,,0.00,0,,233
2016-11-4,77,68,60,63,53,40,100,66,32,30.09,30.05,30.02,10,8,0,8,4,,0.00,1,Fog,332
2016-11-5,73,63,55,62,57,49,100,83,53,30.07,30.02,29.98,10,7,2,12,3,,0.00,2,,259
2016-11-6,71,62,55,60,57,52,100,90,70,30.09,30.05,30.00,10,6,0,9,3,,0.00,1,Fog,173
2016-11-7,71,63,55,61,58,54,100,87,61,30.11,30.06,30.04,10,7,3,9,3,,0.00,1,,247
2016-11-8,79,67,55,61,54,44,89,65,30,30.08,30.03,29.99,10,10,9,8,3,,0.00,0,,214
2016-11-9,93,78,64,49,41,35,47,29,13,30.03,29.98,29.91,10,10,10,8,4,,0.00,0,,22
2016-11-10,88,76,64,45,36,28,42,27,12,30.04,30.00,29.96,10,10,10,8,4,,0.00,0,,26
2016-11-11,84,72,61,48,37,28,58,30,13,30.09,30.05,30.01,10,10,10,8,3,,0.00,0,,16
2016-11-12,78,70,61,55,45,39,72,46,25,30.11,30.05,30.01,10,10,10,7,4,,0.00,0,,302
2016-11-13,82,70,59,55,45,36,70,44,20,30.10,30.06,30.03,10,10,10,9,4,,0.00,0,,71
2016-11-14,81,72,60,59,48,38,87,52,25,30.12,30.07,30.03,10,10,10,8,4,,0.00,0,,221
2016-11-15,73,64,55,61,53,45,93,76,37,30.06,30.01,29.94,10,10,7,9,2,,0.00,0,,172
2016-11-16,66,60,54,58,52,26,100,79,26,29.94,29.89,29.82,10,7,0,15,4,28,0.00,2,Fog,10
2016-11-17,69,62,55,53,33,13,70,37,14,30.03,29.95,29.88,10,10,10,13,8,22,0.00,0,,1
2016-11-18,75,65,55,25,16,5,28,17,6,30.10,30.05,30.01,10,10,10,8,5,,0.00,0,,16
2016-11-19,70,59,48,57,38,15,93,52,14,30.11,30.05,30.01,10,10,10,9,4,,0.00,0,,336
2016-11-20,63,58,54,58,54,42,100,90,62,30.03,29.96,29.90,10,6,2,9,2,,0.34,7,Rain,94
2016-11-21,64,60,55,57,53,39,100,84,43,30.07,29.94,29.87,10,7,2,13,5,22,0.40,5,Rain,24
2016-11-22,57,54,51,46,44,42,77,72,57,30.12,30.09,30.08,10,10,10,4,2,,0.00,2,,4
